lon,lat,Provincia
13.36,37.18,Agrigento
8.37,44.55,Alessandria
13.31,43.37,Ancona
7.19,45.44,Aosta
11.53,43.28,Arezzo
13.34,42.51,Ascoli-Piceno
8.12,44.53,Asti
14.47,40.55,Avellino
16.53,41.07,Bari
12.13,46.08,Belluno
14.46,41.08,Benevento
9.40,45.42,Bergamo
8.03,45.34,Biella
11.21,44.30,Bologna
11.20,46.30,Bolzano
10.12,45.32,Brescia
17.56,40.39,Brindisi
9.07,39.13,Cagliari
14.04,37.29,Caltanissetta
14.39,41.34,Campobasso
14.19,41.04,Caserta
15.05,37.30,Catania
16.35,38.54,Catanzaro
14.10,42.21,Chieti
9.05,45.48,Como
16.15,39.17,Cosenza
10.02,45.08,Cremona
17.08,39.05,Crotone
7.33,44.24,Cuneo
14.16,37.34,nna
11.38,44.50,Ferrara
11.15,43.46,Firenza
15.33,41.28,Foggia
12.03,44.13,Forlì
13.22,41.38,Frosinone
8.55,44.25,Genova
13.38,45.57,Gorizia
11.07,42.46,Grosseto
8.01,43.53,Imperia
14.14,41.36,Isernia
13.24,42.21,L-Aquila
9.50,44.07,La-Spezia
12.53,41.28,Latina
18.11,40.21,Lecce
9.23,45.51,Lecco
10.19,43.33,Livorno
9.30,45.19,Lodi
10.31,43.51,Lucca
13.27,43.18,Macerata
10.47,45.09,Mantova
10.05,44.20,Massa
16.36,40.41,Matera
15.34,38.11,Messina
9.11,45.28,Milano
10.55,44.39,Modena
14.15,40.21,apoli
8.38,45.27,ovara
9.16,40.19,uoro
8.36,39.54,Oristano
11.53,45.24,Padova
13.21,38.07,Palermo
10.21,44.48,Parma
9.10,45.11,Pavia
12.24,43.07,Perugia
12.55,43.54,Pesaro
14.13,42.27,Pescara
9.41,45.03,Piacenza
10.24,43.43,Pisa
10.55,43.56,Pistoia
12.39,45.57,Pordenone
15.49,40.38,Potenza
11.06,43.53,Prato
14.44,36.56,Ragusa
12.12,44.25,Ravenna
15.39,38.06,Reggio-Calabria
10.38,44.42,Reggio-milia
12.52,42.22,Rieti
12.34,44.04,Rimini
12.29,41.54,Roma
11.48,45.04,Rovigo
14.46,40.41,Salerno
8.34,40.43,Sassari
8.28,44.19,Savona
11.18,43.19,Siena
15.17,37.04,Siracusa
9.53,46.11,Sondrio
17.14,40.28,Taranto
13.43,42.40,Teramo
12.40,42.34,Terni
7.42,45.04,Torino
12.32,38.01,Trapani
11.08,46.04,Trento
12.15,45.40,Treviso
13.46,45.39,Trieste
13.14,46.04,Udine
8.49,45.50,Varese
12.21,45.26,Venezia
8.33,45.56,Verbania
8.25,45.20,Vercelli
11,45.27,Verona
16.06,38.40,Vibo-Valentia
11.33,45.33,Vicenza
12.07,42.33,Viterbo