Provincia,sigla,Lat,Lon
Agrigento,AG,37.30,13.60
Alessandria,AL,44.91,08.61
Ancona,AN,43.6167,13.5167
Aosta,AO,45.7333,07.3167
Arezzo,AR,43.4667,11.8833
Ascoli Piceno,AP,42.8500,13.5667
Asti,AT,44.8833,08.2000
Avellino,AV,40.9167,14.7833
Bari,BA,41.1167,16.8833
Belluno,BL,46.1333,12.2167
Benevento,BN,41.1333,14.7667
Bergamo,BG,45.7000,09.6667
Biella,BI,45.5667,08.0500
Bologna,BO,44.5000,11.3500
Bolzano,BZ,46.5000,11.3333
Brescia,BS,44.5333,10.2000
Brindisi,BR,40.6500,17.9333
Cagliari,CA,39.2167,09.1667
Caltanisetta,CL,37.4833,14.0667
Campobasso,CB,41.5667,14.6500
Caserta,CE,41.0667,14.3167
Catania,CT,37.5000,15.0833
Catanzaro,CZ,38.9000,16.5833
Chieti,CH,42.3500,14.1667
Como,CO,45.8000,09.0833
Cosenza,CS,39.2833,16.2500
Cremona,CR,45.1333,10.0333
Crotone,KR,39.0833,17.1333
Cuneo,CN,44.4000,07.5500
Enna,EN,37.5667,14.2667
Ferrara,FE,44.8333,11.6333
Firenze,FI,43.7667,11.2500
Foggia,FG,41.4667,15.5500
Forlì,FO,44.2167,12.0500
Frosinone,FR,41.6333,13.3667
Genova,GE,44.4167,08.9167
Gorizia,GO,45.9500,13.6333
Grosseto,GR,42.7667,11.1167
Imperia,IM,43.8833,08.0167
Isernia,IS,41.6000,14.2333
L'Aquila,AQ,42.3500,13.4000
La Spezia,SP,44.1167,09.8333
Latina,LT,41.4667,12.8833
Lecce,LE,40.3500,18.1833
Lecco,LC,45.8500,09.3833
Livorno,LI,43.5500,10.3167
Lodi,LO,45.3167,09.5000
Lucca,LU,43.8500,10.5167
Macerata,MC,43.3000,13.4500
Mantova,MN,45.1500,10.7833
Massa,MS,44.3333,10.0833
Matera,MT,40.6833,16.6000
Messina,ME,38.1833,15.5667
Milano,MI,45.4667,09.1833
Modena,MO,44.6500,10.9167
Napoli,NA,40.3500,14.2500
Novara,NO,45.4500,08.6333
Nuoro,NU,40.3167,09.2667
Oristano,OR,39.9000,08.6000
Padova,PD,45.4000,11.8833
Palermo,PA,38.1167,13.3500
Parma,PR,44.8000,10.3500
Pavia,PV,45.1833,09.1667
Perugia,PG,43.1167,12.4000
Pesaro,PS,43.9000,12.9167
Pescara,PE,42.4500,14.2167
Piacenza,PC,45.0500,09.6833
Pisa,PI,43.7167,10.4000
Pistoia,PT,43.9333,10.9167
Pordenone,PN,45.9500,12.6500
Potenza,PZ,40.6333,15.8167
Prato,PO,43.8833,11.1000
Ragusa,RG,36.9333,14.7333
Ravenna,RA,44.4167,12.2000
Reggio Calabria,RC,38.1000,15.6500
Reggio Emilia,RE,44.7000,10.6333
Rieti,RI,42.3667,12.8667
Rimini,RN,44.0667,12.5667
Roma,RM,41.9000,12.4833
Rovigo,RO,45.0667,11.8000
Salerno,SA,40.6833,14.7667
Sassari,SS,40.7167,08.5667
Savona,SV,44.3167,08.4667
Siena,SI,43.3167,11.3000
Siracusa,SR,37.0667,15.2833
Sondrio,SO,46.1833,09.8833
Taranto,TA,40.4667,17.2333
Teramo,TE,42.6667,13.7167
Terni,TR,42.5667,12.6667
Torino,TO,45.0667,07.7000
Trapani,TP,38.0167,12.5333
Trento,TN,46.0667,11.1333
Treviso,TV,45.6667,12.2500
Trieste,TS,45.6500,13.7667
Udine,UD,46.0667,13.2333
Varese,VA,45.8333,08.8167
Venezia,VE,45.4333,12.3500
Verbania,VB,45.9333,08.5500
Vercelli,VC,45.3333,08.4167
Verona,VR,45.4500,11.0000
Vibo Valentia,VV,38.6667,16.0100
Vicenza,VI,45.5500,11.5500
Viterbo,VT,42.5500,12.1167